"en","tr"
"Electromagnetic accelerator. Throws ferrite at hypersonic muzzle speed.","Elektromanyetik hızlandırıcı. Ferriti hipersonik namlu hızında fırlatır."
"Entry-level energy barrier.","Giriş seviyesi enerji bariyeri."
"Erases matter from existence.","Maddeyi varlıktan siler."
"Exists in superposition until detonation.","Patlayana dek süperpozisyonda bulunur."
"Exotic matter barrier. Near-impervious.","Egzotik madde bariyeri. Neredeyse aşılmaz."
"Exotic-Condensate cryo lance. Self-charging, no ammo. The only thing that breaches Warp-Hardened hulls - farm The Threshold for legendary-grade rolls.","Egzotik-Yoğuşuk kriyo mızrağı. Kendi kendine şarj olur, mühimmat yok. Warp-Sertleştirilmiş gövdeleri delen tek şey - efsanevi kalite için Eşik'i çiftle."
"Exotic-matter woven hull.","Egzotik-madde örgülü gövde."
"Rack-fed micro-warheads. Loud, messy, and quick to reload.","Rafla beslenen mikro savaş başlıkları. Gürültülü, dağınık ve hızlı doldurulur."
"Extracts energy from vacuum fluctuations.","Vakum dalgalanmalarından enerji çıkarır."
"Fast-cycling beam emitter. Focus crystals in, coherent light out.","Hızlı çevrimli ışın yayıcı. İçeri odak kristalleri, dışarı tutarlı ışık."
"Final evolution of kinetic warfare.","Kinetik savaşın nihai evrimi."
"Fires neutron-dense projectiles.","Nötron-yoğun mermiler ateşler."
"Focused plasma stream, repurposed from a shipbreaker's cutting torch.","Odaklanmış plazma akışı; bir gemi sökücünün kesme kaynağından uyarlanmıştır."
"Forged from primordial matter.","Kadim maddeden dövülmüş."
"Fuses 3 Cracked Amethyst cores into 1 Stable version.","3 Çatlak Ametist çekirdeğini 1 Kararlı sürüme birleştirir."
"Fuses 3 Cracked Cobalt cores into 1 Stable version.","3 Çatlak Kobalt çekirdeğini 1 Kararlı sürüme birleştirir."
"Fuses 3 Cracked Crimson cores into 1 Stable version.","3 Çatlak Kızıl çekirdeğini 1 Kararlı sürüme birleştirir."
"Fuses 3 Cracked Topaz cores into 1 Stable version.","3 Çatlak Topaz çekirdeğini 1 Kararlı sürüme birleştirir."
"Fuses 3 Pristine Amethyst cores into 1 Resonant version.","3 Kusursuz Ametist çekirdeğini 1 Rezonanslı sürüme birleştirir."
"Fuses 3 Pristine Cobalt cores into 1 Resonant version.","3 Kusursuz Kobalt çekirdeğini 1 Rezonanslı sürüme birleştirir."
"Fuses 3 Pristine Crimson cores into 1 Resonant version.","3 Kusursuz Kızıl çekirdeğini 1 Rezonanslı sürüme birleştirir."
"Fuses 3 Pristine Topaz cores into 1 Resonant version.","3 Kusursuz Topaz çekirdeğini 1 Rezonanslı sürüme birleştirir."
"Fuses 3 Stable Amethyst cores into 1 Pristine version.","3 Kararlı Ametist çekirdeğini 1 Kusursuz sürüme birleştirir."
"Fuses 3 Stable Cobalt cores into 1 Pristine version.","3 Kararlı Kobalt çekirdeğini 1 Kusursuz sürüme birleştirir."
"Fuses 3 Stable Crimson cores into 1 Pristine version.","3 Kararlı Kızıl çekirdeğini 1 Kusursuz sürüme birleştirir."
"Fuses 3 Stable Topaz cores into 1 Pristine version.","3 Kararlı Topaz çekirdeğini 1 Kusursuz sürüme birleştirir."
"Gamma-hardened ultra-plating.","Gama-sertleştirilmiş ultra-kaplama."
"Geometrically perfect barrier field.","Geometrik olarak kusursuz bariyer alanı."
"Helium-cooled emitter. Holds a firing line far longer than it should.","Helyum soğutmalı yayıcı. Ateş hattını olması gerekenden çok daha uzun tutar."
"High-velocity slug launcher.","Yüksek hızlı slug fırlatıcı."
"Ice-tempered composite armor.","Buz-tavlı kompozit zırh."
"Improved barrier with regen coils.","Yenileme bobinli geliştirilmiş bariyer."
"Layered ceramic-metal composite.","Katmanlı seramik-metal kompozit."
"Lightweight composite armor.","Hafif kompozit zırh."
"Magnetic rail cannon. Crude, rugged, and cheap to keep loaded.","Manyetik ray topu. Kaba, sağlam ve doldurması ucuz."
"Mars-forged magnetic accelerator.","Mars-dövmesi manyetik hızlandırıcı."
"Military-grade energy barrier.","Askeri sınıf enerji bariyeri."
"Neutron-star density alloy.","Nötron-yıldızı yoğunluğunda alaşım."
"Neutron-star density plating.","Nötron-yıldızı yoğunluğunda kaplama."
"Neutronium-core mass driver.","Nötronyum-çekirdekli kütle sürücüsü."
"Precision-engineered energy weapon.","Hassas-tasarlanmış enerji silahı."
"Primordial matter hull.","Kadim madde gövdesi."
"Prismatic containment barrier.","Prizmatik muhafaza bariyeri."
"Prismatic energy cascade.","Prizmatik enerji şelalesi."
"Radiation-dampening barrier.","Radyasyon-sönümleyen bariyer."
"Rapid-fire ballistic weapon.","Seri ateşli balistik silah."
"Reality-bending shield aura.","Gerçekliği-büken kalkan aurası."
"Reality-bending shield barrier.","Gerçekliği-büken kalkan bariyeri."
"Reality-ending void warhead.","Gerçekliği-bitiren hiçlik savaş başlığı."
"Refracted energy cascade.","Kırılmış enerji şelalesi."
"Reverse-engineered alien shielding.","Tersine mühendislikle çözülmüş uzaylı kalkanı."
"Silicate-hardened hull plating.","Silikat-sertleştirilmiş gövde kaplaması."
"Splits into sub-munitions on impact.","Çarpmada alt-mühimmata bölünür."
"Stone-resonance energy barrier.","Taş-rezonanslı enerji bariyeri."
"Supercooled barrier matrix.","Aşırı-soğutulmuş bariyer matrisi."
"Sustained plasma discharge.","Sürekli plazma boşalımı."
"Synthesize a random Cracked Matrix Core.","Rastgele bir Çatlak Matris Çekirdeği sentezler."
"Tears through spacetime itself.","Uzay-zamanın ta kendisini yırtar."
"Ultra-dense rare earth plating.","Ultra-yoğun nadir toprak kaplaması."
"Viral payload. Corrodes all matter.","Viral yük. Tüm maddeyi aşındırır."
"Void-sovereign barrier field.","Hiçlik-hükümdarı bariyer alanı."
"Xenon doomsday missile platform.","Ksenon kıyamet füze platformu."
"Xenon phase-shift barrier.","Ksenon faz-kaydırma bariyeri."
"CRYOGENIC","KRİYOJENİK"
"Breaches Warp-Hardened hulls","Warp-Sertleştirilmiş gövdeleri deler"
"Self-charging — no ammo","Kendi kendine şarj — mühimmat yok"
"Weak: Conventional enemies resist","Zayıf: Sıradan düşmanlar direnir"
"Breaches Warp-Hardened, self-charging","Warp-Sertleştirilmişi deler, kendi kendine şarj"
"Attacks With: %s","Saldırı Türü: %s"
"Damage Resistances","Hasar Dirençleri"
"WARP-HARDENED — only Cryo damage works (conventional ×0.02)","WARP-SERTLEŞTİRİLMİŞ — yalnızca Kriyo hasarı işler (sıradan ×0.02)"
"▶ BEST DAMAGE TYPE: %s","▶ EN İYİ HASAR TÜRÜ: %s"
"Guaranteed Drops","Garantili Ganimetler"
"BOSS DROP: %s","PATRON GANİMETİ: %s"
"Rare Drops","Nadir Ganimetler"
"UNIQUE ","EŞSİZ "
"Subspace Signal Detected","Altuzay Sinyali Algılandı"
"Chance per kill: %.1f%%","Öldürme başına şans: %.1f%%"
"Chance: %.1f%% (Base: %.1f%%)","Şans: %.1f%% (Temel: %.1f%%)"
"Contains variants for:","Şunun için varyantlar içerir:"
"[LOCKED] ","[KİLİTLİ] "
"  %s: +%d%% RESIST","  %s: +%d%% DİRENÇ"
"  %s: %d%% WEAK","  %s: %d%% ZAYIF"
"  %s: NEUTRAL","  %s: NÖTR"
"Intel: ","İstihbarat: "
"SET BONUS ACTIVE","SET BONUSU AKTİF"
"Empty %s Slot
Drag a matching module here (or click a module, then click here)","Boş %s Yuvası
Eşleşen bir modülü buraya sürükle (veya bir modüle, sonra buraya tıkla)"
"%s
Restores %d%% %s","%s
%d%% %s yeniler"
"WAVE %d/%d","DALGA %d/%d"
"Claimed %d order reward(s)","%d sipariş ödülü talep edildi"
"Failed to insert core.","Çekirdek eklenemedi."
"No empty sockets available.","Boş yuva yok."
"Click a Matrix Core first, then a socket.","Önce bir Matris Çekirdeğine, sonra bir yuvaya tıkla."
"Couldn't socket that core.","O çekirdek yuvalanamadı."
"Can't equip there.","Oraya kuşanılamaz."
"Cannot repair this module","Bu modül onarılamaz"
"Module is at maximum durability","Modül maksimum dayanıklılıkta"
"Module repaired","Modül onarıldı"
"Not enough Spare Parts","Yeterli Yedek Parça yok"
"Switched to empty build slot %d — equip modules to set it up.","Boş yapı yuvası %d'e geçildi — kurmak için modül kuşan."
"No %s modules to scrap.","Hurdaya ayrılacak %s modülü yok."
"Demolished %d module(s)","%d modül söküldü"
"Compare baseline cleared.","Karşılaştırma temeli temizlendi."
"Comparing vs %s — hover a module to see them side by side (Esc clears).","%s ile karşılaştırılıyor — yan yana görmek için bir modülün üzerine gel (Esc temizler)."
"No affix to anchor (awaken + add affixes first).","Sabitlenecek ek özellik yok (önce uyandır + ek özellik ekle)."
"No unlocked affix to refit (all anchored?).","Yeniden düzenlenecek kilidi açık ek özellik yok (hepsi sabit mi?)."
"Off-World Operations","Dünya Dışı Operasyonlar"
"The foundation of everything — opens your refinery, water and ship systems.","Her şeyin temeli — rafinerini, su ve gemi sistemlerini açar."
"Gates the Advanced Technologies branch.","Gelişmiş Teknolojiler dalını açar."
"Gates the Factory Automation and Hydraulic Press branches.","Fabrika Otomasyonu ve Hidrolik Pres dallarını açar."
"Gates Shield Harmonics and Magnetic Funnels research.","Kalkan Harmonikleri ve Manyetik Huniler araştırmasını açar."
"Defensive consumable for evasion windows.","Kaçınma anları için savunma sarf malzemesi."
"Gates Advanced Rocketry research.","Gelişmiş Roket Bilimi araştırmasını açar."
"Required for Deep Space Navigation research.","Derin Uzay Navigasyonu araştırması için gereklidir."
"Bulk refined materials — start automating.","Toplu işlenmiş maddeler — otomasyona başla."
"Hand-supply is impractical here — build extraction.","Elle tedarik burada pratik değil — çıkarım kur."
"Sustained automated output required.","Sürekli otomatik çıktı gereklidir."
"Mature industrial base required.","Olgun bir sanayi altyapısı gereklidir."
"Heavy automation + Tungsten extraction.","Ağır otomasyon + Tungsten çıkarımı."
"Full-scale industrial economy.","Tam ölçekli sanayi ekonomisi."
"Deep automated supply chains.","Derin otomatik tedarik zincirleri."
"End-game industrial empire.","Son oyun sanayi imparatorluğu."
"Reverse-engineer salvaged module firmware to rewrite affixes — unlocks Hack Card drops in combat and crafting in the Ship Designer.","Ek özellikleri yeniden yazmak için kurtarılan modül yazılımını tersine mühendislikle çöz — savaşta Hack Kartı düşürmelerini ve Gemi Tasarımcısı'nda üretimi açar."
"Industrial Centrifuges learn to spot trace titanium.","Sanayi Santrifüjleri eser titanyumu tespit etmeyi öğrenir."
"Weaponize Exotic Condensate — the only force that breaches Warp-Hardened hulls. Requires a Warp Core activation.","Egzotik Yoğuşuğu silahlaştır — Warp-Sertleştirilmiş gövdeleri delen tek güç. Bir Warp Çekirdeği etkinleştirmesi gerektirir."
"Acid-plasma armaments — etch through Corrosion-hardened hulls in the Rift. Requires mastery of Cryogenic Armaments.","Asit-plazma silahları — Yarık'taki Korozyon-sertleştirilmiş gövdeleri delip geçer. Kriyojenik Silahlarda ustalık gerektirir."
"Steel yield: 1 → 5 per Foundry cycle.","Çelik verimi: Döküm döngüsü başına 1 → 5."
"Boosts rare loot & module-drop chance by 25% (read by combat loot rolls).","Nadir ganimet ve modül düşürme şansını %25 artırır (savaş ganimet zarları tarafından okunur)."
"Charts the deep-space lanes toward exotic phenomena.","Egzotik olgulara doğru derin uzay yollarını haritalar."
"Gates Exotic Matter Analysis research.","Egzotik Madde Analizi araştırmasını açar."
"Refines exotic matter and gates the Void Navigation branch. Sector Delta is unlocked separately by Delta Sector Survey (zone_8_access).","Egzotik maddeyi işler ve Hiçlik Navigasyonu dalını açar. Sektör Delta ayrıca Delta Sektör Araştırması (zone_8_access) ile açılır."
"Compress neutron-star matter into workable plate — the spine of capital fabrication.","Nötron-yıldızı maddesini işlenebilir plakaya sıkıştır — ağır üretimin belkemiği."
"Bind primordial matter into stable matrices — the deepest craft in the game.","Kadim maddeyi kararlı matrislere bağla — oyundaki en derin üretim."
"Auto-fires equipped hull/shield consumables on trigger.","Tetiklendiğinde kuşanılmış gövde/kalkan sarf malzemelerini otomatik ateşler."
"Enemy shields +60%.","Düşman kalkanları +%60."
"Bosses enrage 20% sooner (HP).","Bölüm sonu canavarları %20 daha erken öfkelenir (CAN)."
"Your Cryo/Corrosion damage -25%.","Kriyo/Korozyon hasarın -%25."
"Enemy HP +45%.","Düşman CAN +%45."
"Low threat sector populated by rogue mining drones.","Başıboş madenci dronlarıyla dolu düşük tehditli sektör."
"Dense asteroid field. Pirates and territorial fauna.","Yoğun asteroit alanı. Korsanlar ve bölgeci canlılar."
"War-torn debris. Salvage mechs and derelict defenses.","Savaştan yıkılmış enkaz. Hurda mekanikleri ve terk edilmiş savunmalar."
"Frozen deep-space anomaly. Ice-adapted hostiles.","Donmuş derin uzay anomalisi. Buza uyum sağlamış düşmanlar."
"Xenon-controlled territory. Advanced alien technology.","Ksenon kontrolündeki bölge. Gelişmiş uzaylı teknolojisi."
"Abandoned mining colony. Automated defense systems.","Terk edilmiş madencilik kolonisi. Otomatik savunma sistemleri."
"Deep space void. Energy wraiths and exotic matter.","Derin uzay hiçliği. Enerji tayfları ve egzotik madde."
"Crystal nebula. Prismatic entities and void anomalies.","Kristal bulutsu. Prizmatik varlıklar ve hiçlik anomalileri."
"Quarantine zone. Biological horrors and rogue AI.","Karantina bölgesi. Biyolojik dehşetler ve başıboş YZ."
"Beyond known space. Primordial entities and temporal anomalies.","Bilinen uzayın ötesi. Kadim varlıklar ve zamansal anomaliler."
"Warp-Hardened space. Hostiles are immune to conventional armaments — only Cryogenic weapons (unlocked by Warping) breach them.","Warp-Sertleştirilmiş uzay. Düşmanlar sıradan silahlara bağışıktır — onları yalnızca Kriyojenik silahlar (Warp ile açılır) deler."
"A corrosive tear in space. The Rift Warden hardens against Cryo, then Corrosion — breach each phase with the matching armament.","Uzayda aşındırıcı bir yırtık. Yarık Muhafızı önce Kriyo'ya, sonra Korozyon'a sertleşir — her aşamayı eşleşen silahla del."
"Oxidized ruin where the corrosion took hold. The Verdigris Warden hardens Corrosion then Cryo — swap the other way this time.","Korozyonun ele geçirdiği oksitlenmiş harabe. Patina Muhafızı önce Korozyon'a sonra Kriyo'ya sertleşir — bu sefer ters yönde değiştir."
"Matter unravels here. The Dissolution Tyrant gates THREE phases — Cryo → Corrosion → Cryo — two swaps to breach.","Madde burada çözülür. Çözünme Tiranı ÜÇ aşama açar — Kriyo → Korozyon → Kriyo — delmek için iki değişim."
"The heart of the corrosion. The Caustic Sovereign opens and closes on Corrosion, Cryo between — the loop's capstone gate.","Korozyonun kalbi. Kostik Hükümdar Korozyon'da açılıp kapanır, aralarda Kriyo — döngünün zirve geçidi."
"Electromagnetic death-field. Weapons jam constantly without shielding.","Elektromanyetik ölüm alanı. Kalkan olmadan silahlar sürekli sıkışır."
"Combat Sweep","Savaş Taraması"
"Infrastructure Grid","Altyapı Şebekesi"
"+1 gathering yield (flat, per gather).","+1 toplama verimi (sabit, toplama başına)."
"-15% processing action duration.","-%15 işleme eylem süresi."
"-1 of each input material per craft (min 1).","Üretim başına her girdi maddesinden -1 (en az 1)."
"-20% infrastructure build cost.","-%20 altyapı inşa maliyeti."
"Throttle buildings to 200% output at +50% input/unit.","Binaları +%50 girdi/birim karşılığında %200 çıktıya kadar zorla."
"Auto-feeds a fraction of your surplus primitives into the Core each cycle.","Her döngüde fazla temel maddelerinin bir kısmını otomatik olarak Çekirdeğe besler."
"+10% gathering AND infrastructure yield per level.","Seviye başına +%10 toplama VE altyapı verimi."
"-3% processing duration per level (max -50%).","Seviye başına -%3 işleme süresi (en fazla -%50)."
"+15% hull HP on all hulls.","Tüm gövdelerde +%15 gövde CAN."
"+10% module damage.","+%10 modül hasarı."
"Adds one extra module slot on every hull that accepts any module type.","Herhangi bir modül türünü kabul eden her gövdeye bir ekstra modül yuvası ekler."
"Unlocks the Resonant matrix-core tier (fuse 3 Pristine cores into 1 Resonant).","Rezonanslı matris-çekirdeği kademesini açar (3 Kusursuz çekirdeği 1 Rezonanslıya birleştir)."
"+6% module damage per level.","Seviye başına +%6 modül hasarı."
"On warp, auto-rebuild 50% of your buildings for free.","Warp yaptığında, binalarının %50'sini ücretsiz otomatik yeniden inşa et."
"Keep 40% XP through a warp (up from 30%).","Bir warp boyunca %40 XP koru (%30'dan yükseldi)."
"Keep 55% XP through a warp (stacks with Deeper Roots).","Bir warp boyunca %55 XP koru (Daha Derin Kökler ile birikir)."
"Warp-Core Charge +25% efficiency and a higher bonus-shard cap.","Warp-Çekirdeği Şarjı +%25 verim ve daha yüksek bonus-parça sınırı."
"+4% warp shards earned per level.","Seviye başına kazanılan +%4 warp parçası."
"+5% free building rebuild per level (caps at +50%).","Seviye başına +%5 ücretsiz bina yeniden inşası (+%50'de sınırlanır)."
"+8% Hack Card drop rate per level (caps at +80%).","Seviye başına +%8 Hack Kartı düşürme oranı (+%80'de sınırlanır)."
"Gathering: %s","Toplama: %s"
"Engineering: %s","Mühendislik: %s"
"Combat: %s","Savaş: %s"
"Researching: %s","Araştırılıyor: %s"
"CRY - Breaches Warp-Hardened, Weak vs Conventional","KRİ - Warp-Sertleştirilmişi deler, sıradana karşı zayıf"
"No combat modifiers","Savaş değiştiricisi yok"
"Unknown Tech","Bilinmeyen Teknoloji"
"Need %s more %s","%s tane daha %s gerekli"
"Research required to build this","Bunu inşa etmek için araştırma gerekli"
"Maximum reached","Maksimuma ulaşıldı"
"Cannot build right now","Şu anda inşa edilemez"
"Unknown Item","Bilinmeyen Eşya"
"(Currently equipped module)","(Şu anda kuşanılı modül)"
"No known sources.","Bilinen kaynak yok."
"Not used anywhere.","Hiçbir yerde kullanılmıyor."
"Capital Hulls","Ağır Gövdeler"
"Kinetic Weapons","Kinetik Silahlar"
"Explosive Weapons","Patlayıcı Silahlar"
"Energy Weapons","Enerji Silahları"
"Special Weapons","Özel Silahlar"
"Shield Generators","Kalkan Jeneratörleri"
"Power Cores","Güç Çekirdekleri"
"Shield · Armor","Kalkan · Zırh"
"Common Ammo","Sıradan Mühimmat"
"%s Bonus","%s Bonusu"
"+%.1f %s Damage","+%.1f %s Hasar"
"+%d%% %s Damage","+%%%d %s Hasar"
"HACK CARD · Module Crafting","HACK KARTI · Modül Üretimi"
"Applies a crafting effect to a module.","Bir modüle üretim etkisi uygular."
"Click to arm, then click a module to apply.","Silahlandırmak için tıkla, sonra uygulamak için bir modüle tıkla."
"100% (Guaranteed)","%100 (Garantili)"
"Eff. HP %s   ·   DPS %s/s","Etkin CAN %s   ·   DPS %s/s"
"  [color=%s](stacks with %s)[/color]","  [color=%s](%s ile birikir)[/color]"
"  [color=%s](stacks)[/color]","  [color=%s](birikir)[/color]"
"+%d%% %s speed%s","+%d%% %s hızı%s"
"Chance: %s from %s","Şans: %s (%s)"
"Triggers at ≤%d%% %s","≤%d%% %s durumunda tetiklenir"
"— no surplus to feed —","— beslenecek fazlalık yok —"
"Paused — enable Offline Combat in Options to keep fighting while away.","Duraklatıldı — uzaktayken savaşmaya devam etmek için Ayarlar'dan Çevrimdışı Savaşı etkinleştir."
"Save data found","Kayıt verisi bulundu"
"--- Matrix Cores ---","--- Matris Çekirdekleri ---"
"Socket: Remove ","Yuva: Kaldır "
"Socket: [Empty]","Yuva: [Boş]"
"Drag a consumable here (or click one, then click here)","Bir sarf malzemesini buraya sürükle (veya birine, sonra buraya tıkla)"
"(EQUIPPED)","(KUŞANILI)"
"Sort · Power","Sırala · Güç"
"Sort · Zone","Sırala · Bölge"
"Sort · Rarity","Sırala · Nadirlik"
"  |  %d missing","  |  %d eksik"
"You'll receive Liras, Spare Parts, and zone salvage.","Lira, Yedek Parça ve bölge hurdası alacaksın."
"Bulk Demolish","Toplu Söküm"
"Hack Card — drag onto a module to apply (or click to arm, then click a module).","Hack Kartı — uygulamak için bir modüle sürükle (veya silahlandırmak için tıkla, sonra bir modüle tıkla)."
"ARMED: %s — click a module","SİLAHLI: %s — bir modüle tıkla"
"Can't apply here.","Buraya uygulanamaz."
"Awakens a Common into an Uncommon custom (1 affix; base stats lock).","Bir Sıradanı Sıra Dışı özele uyandırır (1 ek özellik; temel istatistikler kilitlenir)."
"Awakens a Common straight to a Rare custom (2 affixes).","Bir Sıradanı doğrudan Nadir özele uyandırır (2 ek özellik)."
"Raises rarity one tier and rolls a NEW affix (keeps existing ones).","Nadirliği bir kademe yükseltir ve YENİ bir ek özellik atar (mevcutları korur)."
"Re-rolls the VALUES of every UNANCHORED affix (identities & count kept). Anchor your best roll first.","Her SABİTLENMEMİŞ ek özelliğin DEĞERLERİNİ yeniden atar (kimlikler ve sayı korunur). Önce en iyi atışını sabitle."
"Removes one RANDOM unlocked affix and rolls a new one (25% Greater-Affix). Anchor an affix first to protect it.","RASTGELE bir kilidi açık ek özelliği kaldırır ve yenisini atar (%25 Üstün Ek Özellik). Korumak için önce bir ek özelliği sabitle."
"Confirm Hack","Hack'i Onayla"
"Repair Module","Modülü Onar"
"Shift-click: unpin  ·  Esc: clear compare","Shift-tık: sabitlemeyi kaldır  ·  Esc: karşılaştırmayı temizle"
"Shift-click to pin & compare two modules","İki modülü sabitleyip karşılaştırmak için Shift-tıkla"
"Shift-click: pin this instead  ·  Esc: clear compare","Shift-tık: bunun yerine bunu sabitle  ·  Esc: karşılaştırmayı temizle"
"Right-click to recycle for parts","Parçalar için geri dönüştürmek üzere sağ tıkla"
"ANCHOR BOLT","SABİTLEME CIVATASI"
"— click an affix to lock it:","— kilitlemek için bir ek özelliğe tıkla:"
"Sell Value:","Satış Değeri:"
"  no cargo recovered","  hiç kargo kurtarılmadı"
"Reached the %dh offline cap — log in sooner to bank it all.","%d saatlik çevrimdışı sınırına ulaşıldı — hepsini almak için daha erken giriş yap."
" +%d resonance"," +%d rezonans"
"(rare)","(nadir)"
"(guaranteed)","(garantili)"
"%d required","%d gerekli"
"a material","bir madde"
"an enemy","bir düşman"
"/m","/dk"
"Hull Armor","Gövde Zırhı"
"Engine Systems","Motor Sistemleri"
"Cooling Systems","Soğutma Sistemleri"
"Sensor & EW Suites","Sensör & EH Takımları"
"Ordnance","Mühimmat"
"Matrix Cores (Sockets)","Matris Çekirdekleri (Yuvalar)"
"Demolish [b]%d[/b] non-equipped module%s?

","Kuşanılmamış [b]%d[/b] modül%s sökülsün mü?

"
"Apply [b]%s[/b] to [b]%s[/b]?

","[b]%s[/b], [b]%s[/b] öğesine uygulansın mı?

"
"[color=#%s]%s[/color]  [color=#7a8190]%d / %d pieces[/color]
","[color=#%s]%s[/color]  [color=#7a8190]%d / %d parça[/color]
"
"[b][color=#FFB13D]◇ LOCKED[/color][/b]  [color=#9aa0ad]equip %d more piece%s[/color]
","[b][color=#FFB13D]◇ KİLİTLİ[/color][/b]  [color=#9aa0ad]%d parça daha kuşan%s[/color]
"
"[center]Restore  [b]%s[/b]
","[center][b]%s[/b] onarılsın
"
"from [color=#%s]%d%%[/color]   →   [color=#%s]100%%[/color] durability.

","[color=#%s]%d%%[/color]   →   [color=#%s]100%%[/color] dayanıklılığa.

"
"Switched to build slot %d  —  %d module(s) equipped","Yapı yuvası %d'e geçildi  —  %d modül kuşanılı"
"Switch to '%s' (slot %d).","'%s' yapısına geç (yuva %d)."
"Switch to build slot %d.","Yapı yuvası %d'e geç."
"Smelt Iron","Demir Erit"
"the target","hedef"
"Hulls","Gövdeler"
"Weapons","Silahlar"
"Shields","Kalkanlar"
"Armor","Zırh"
"Engines","Motorlar"
"Sensors","Sensörler"
"Ammunition","Mühimmat"
"Defense","Savunma"
"Systems","Sistemler"
"Utility","Yardımcı"
"Auxiliary","Yardımcı Donanım"
"Unequip","Kuşanımı Kaldır"
"Unequip (Invalid)","Kuşanımı Kaldır (Geçersiz)"
"EQUIP ▼","KUŞAN ▼"
"Base Gathering Yield","Temel Toplama Verimi"
"Base Yield (all Gathering)","Temel Verim (tüm Toplama)"
"Combat Attack Speed","Savaş Saldırı Hızı"
"Combat XP gain","Savaş XP kazancı"
"Corrosion Blaster (Weapon Craft)","Korozyon Patlatıcı (Silah Üretimi)"
"Crafting Speed","Üretim Hızı"
"Cryo Cannon (Weapon Craft)","Kriyo Topu (Silah Üretimi)"
"Cryo Repeater (Weapon Craft)","Kriyo Tekrarlayıcı (Silah Üretimi)"
"Cryo-Lance (Weapon Craft)","Kriyo-Mızrak (Silah Üretimi)"
"Depleted Uranium Rounds (T3 Ammo)","Fakirleştirilmiş Uranyum Mermileri (T3 Mühimmat)"
"Dirt centrifuging","Toprak santrifüjleme"
"Exotic Matter Analysis (branch)","Egzotik Madde Analizi (dal)"
"Glacier Belt zone","Buzul Kuşağı bölgesi"
"Global Processing & Research Speed","Küresel İşleme & Araştırma Hızı"
"Global Production Speed","Küresel Üretim Hızı"
"Hack Cards (module affix crafting)","Hack Kartları (modül ek özellik üretimi)"
"Hyper-Velocity Slug (T4 Ammo)","Hiper-Hız Slug (T4 Mühimmat)"
"Ion Field","İyon Alanı"
"Meson Oscillator","Mezon Osilatörü"
"Meta","Meta"
"Output (Gathering & Processing)","Çıktı (Toplama & İşleme)"
"Photon Torpedo (T4 Ammo)","Foton Torpidosu (T4 Mühimmat)"
"Plasma Cell (T2 Energy Ammo)","Plazma Hücresi (T2 Enerji Mühimmatı)"
"Radiation Shielding Theory (branch)","Radyasyon Kalkanı Teorisi (dal)"
"Rare Loot / Module Drop Chance","Nadir Ganimet / Modül Düşürme Şansı"
"Sector Alpha (scan)","Sektör Alfa (tarama)"
"Shield Regeneration speed","Kalkan Yenilenme hızı"
"Ship Energy Capacity","Gemi Enerji Kapasitesi"
"Ship Max HP","Gemi Maks CAN"
"Total Ship Damage","Toplam Gemi Hasarı"
"Total Ship Shields","Toplam Gemi Kalkanı"
"Tungsten Sabot Rounds (T2)","Tungsten Sabo Mermileri (T2)"
"Vaporizer Cell (T3 Ammo)","Buharlaştırıcı Hücre (T3 Mühimmat)"
"Void Navigation (branch)","Hiçlik Navigasyonu (dal)"
"Zone","Bölge"
"Zone 10 modules","Bölge 10 modülleri"
"Zone 2 modules fabrication","Bölge 2 modül üretimi"
"Zone 3 modules fabrication","Bölge 3 modül üretimi"
"Zone 4 modules","Bölge 4 modülleri"
"Zone 5 modules","Bölge 5 modülleri"
"Zone 6 modules","Bölge 6 modülleri"
"Zone 7 modules","Bölge 7 modülleri"
"Zone 8 modules","Bölge 8 modülleri"
"Zone 9 modules","Bölge 9 modülleri"
"hull/shield integrity","gövde/kalkan bütünlüğü"
"RARITY","NADİRLİK"
"SLOT TYPE","YUVA TÜRÜ"
"WEAPON TYPE","SİLAH TÜRÜ"
"Cryo","Kriyo"
"Mining","Madencilik"
"Task","Görev"
"Tin Prospecting","Kalay Arama"
"In the Mine page, extract 40 Cassiterite (tin ore). It smelts into the Tin your circuits will need.","Maden sayfasında 40 Kassiterit (kalay cevheri) çıkar. Devrelerinin ihtiyaç duyacağı Kalaya izabe edilir."
"In the Engineering tab, smelt Cassiterite into 24 Tin (Sn) — the 'Tin Smelting' recipe (it also uses a little Carbon).","Mühendislik sekmesinde Kassiteriti 24 Kalaya (Sn) izabe et — 'Kalay İzabesi' tarifi (biraz da Karbon kullanır)."
"Craft 10 Circuit Boards in the Engineering tab — they use the Tin you just smelted, plus Copper and Silicon.","Mühendislik sekmesinde 10 Devre Kartı üret — az önce izabe ettiğin Kalayın yanı sıra Bakır ve Silikon kullanırlar."
"ATTUNE A MATRIX CORE","MATRİS ÇEKİRDEĞİ UYUMLA"
"Rare, Legendary and Unique modules carry SOCKETS. In the Shipyard, craft 'Matrix Synthesis' to synthesize a Matrix Core — a gem that empowers whatever module you socket it into.","Nadir, Efsanevi ve Eşsiz modüller YUVALARA sahiptir. Tersanede bir Matris Çekirdeği sentezlemek için 'Matris Sentezi' üret — taktığın her modülü güçlendiren bir taş."
"SLOT THE CORE","ÇEKİRDEĞİ TAK"
